Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.sql.shuffle.partitions,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkPagerank,2023-04-18,00:09:44,531470496,239.246,2221439,1110719,56m,6,4,7g,4,4,8g,lz4,106k,62k,28k,40m,0.1,0.7,42m,org.apache.spark.serializer.JavaSerializer,56k,0.2,200,8,0.5,56m,0.1
ScalaSparkPagerank,2023-04-18,00:24:50,531470496,268.84,1976902,988451,22m,2,2,11g,8,2,16g,lzf,64k,38k,2k,28m,0.7,0.2,44m,org.apache.spark.serializer.KryoSerializer,38k,0.7,50,8,0.1,456m,0.1
ScalaSparkPagerank,2023-04-18,00:39:09,531470496,193.218,2750626,1375313,28m,4,4,7g,8,2,16g,lz4,4k,88k,18k,28m,0.7,0.4,12m,org.apache.spark.serializer.JavaSerializer,62k,0.9,150,8,0.2,324m,0.8
ScalaSparkPagerank,2023-04-18,00:53:15,531470496,150.056,3541814,1770907,112m,8,2,10g,4,4,8g,lz4,60k,94k,126k,100m,0.4,0.4,120m,org.apache.spark.serializer.KryoSerializer,46k,0.2,100,8,0.3,74m,0.4
ScalaSparkPagerank,2023-04-18,01:55:54,531470496,482.921,1100532,550266,122m,2,1,5g,4,4,8g,lzf,4k,36k,90k,68m,0.1,0.5,96m,org.apache.spark.serializer.KryoSerializer,24k,0.9,100,8,0.6,148m,0.8
ScalaSparkPagerank,2023-04-18,02:14:51,531470496,192.297,2763800,1381900,18m,14,5,9g,8,2,16g,lz4,90k,102k,116k,8m,0.2,0.8,32m,org.apache.spark.serializer.KryoSerializer,106k,0.7,200,8,0.3,116m,0.1
ScalaSparkPagerank,2023-04-18,02:31:50,531470496,209.683,2534637,1267318,62m,14,5,13g,8,2,16g,snappy,66k,66k,34k,40m,0.3,0.4,46m,org.apache.spark.serializer.KryoSerializer,82k,0.9,750,8,0.4,128m,0.9
ScalaSparkPagerank,2023-04-18,02:46:09,531470496,181.141,2934015,1467007,32m,4,6,4g,2,8,4g,lz4,98k,70k,28k,36m,0.6,0.1,54m,org.apache.spark.serializer.JavaSerializer,8k,0.3,750,8,0.3,38m,0.8
ScalaSparkPagerank,2023-04-18,03:03:41,531470496,352.773,1506550,753275,120m,2,3,12g,4,4,8g,lzf,114k,58k,66k,92m,0.4,0.2,128m,org.apache.spark.serializer.KryoSerializer,60k,0.6,700,8,0.5,218m,0.2
ScalaSparkPagerank,2023-04-18,03:48:05,531470496,444.16,1196574,598287,56m,2,7,10g,2,8,4g,lz4,50k,70k,16k,52m,0.1,0.6,58m,org.apache.spark.serializer.JavaSerializer,8k,0.4,750,8,0.5,370m,0.8
