Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkKmeans,2023-04-22,02:11:23,8032739922,116.028,69231047,34615523,13m,8,6,6g,8,2,16g,lz4,54k,90k,9k,15m,0.74,0.2,27m,org.apache.spark.serializer.JavaSerializer,42k,0.23,334,0.32,51m,0.26
ScalaSparkKmeans,2023-04-22,02:22:37,8032739922,130.342,61628177,30814088,81m,2,2,7g,8,2,16g,snappy,88k,99k,115k,12m,0.33,0.27,20m,org.apache.spark.serializer.JavaSerializer,5k,0.32,473,0.22,7m,0.6
ScalaSparkKmeans,2023-04-22,02:35:39,8032739922,121.239,66255412,33127706,92m,15,7,4g,8,2,16g,lzf,111k,52k,107k,57m,0.69,0.16,105m,org.apache.spark.serializer.JavaSerializer,50k,0.39,62,0.15,220m,0.6
ScalaSparkKmeans,2023-04-22,02:46:15,8032739922,127.718,62894344,31447172,109m,15,7,5g,4,4,8g,lzf,18k,113k,111k,102m,0.64,0.22,120m,org.apache.spark.serializer.JavaSerializer,21k,0.81,514,0.78,367m,0.3
ScalaSparkKmeans,2023-04-22,02:56:39,8032739922,128.122,62696023,31348011,52m,9,2,6g,4,4,8g,snappy,87k,4k,63k,95m,0.53,0.84,50m,org.apache.spark.serializer.KryoSerializer,73k,0.46,118,0.52,196m,0.39
ScalaSparkKmeans,2023-04-22,03:08:02,8032739922,127.444,63029565,31514782,120m,15,3,7g,4,4,8g,lzf,107k,56k,35k,80m,0.35,0.72,22m,org.apache.spark.serializer.KryoSerializer,76k,0.65,204,0.54,92m,0.61
ScalaSparkKmeans,2023-04-22,03:23:40,8032739922,366.813,21898732,10949366,9m,12,5,16g,8,2,16g,lzf,55k,63k,68k,86m,0.14,0.3,103m,org.apache.spark.serializer.KryoSerializer,117k,0.35,50,0.71,403m,0.16
ScalaSparkKmeans,2023-04-22,03:40:30,8032739922,138.029,58196030,29098015,80m,4,2,7g,2,8,4g,snappy,65k,71k,7k,60m,0.82,0.89,94m,org.apache.spark.serializer.JavaSerializer,115k,0.85,153,0.86,203m,0.46
ScalaSparkKmeans,2023-04-22,03:51:31,8032739922,116.617,68881380,34440690,25m,12,1,5g,8,2,16g,snappy,8k,56k,74k,91m,0.88,0.44,38m,org.apache.spark.serializer.KryoSerializer,98k,0.47,568,0.9,88m,0.11
ScalaSparkKmeans,2023-04-22,04:03:13,8032739922,139.485,57588557,28794278,50m,13,1,8g,2,8,4g,lzf,126k,96k,27k,69m,0.56,0.25,98m,org.apache.spark.serializer.JavaSerializer,65k,0.85,118,0.73,464m,0.55
ScalaSparkKmeans,2023-04-22,04:14:28,8032739922,139.158,57723881,28861940,110m,6,8,6g,2,8,4g,lz4,9k,40k,85k,119m,0.8,0.18,54m,org.apache.spark.serializer.KryoSerializer,68k,0.58,164,0.7,204m,0.16
ScalaSparkKmeans,2023-04-22,04:25:10,8032739922,125.894,63805581,31902790,23m,13,1,5g,4,4,8g,lzf,92k,60k,96k,106m,0.54,0.32,117m,org.apache.spark.serializer.JavaSerializer,13k,0.1,383,0.41,483m,0.15
ScalaSparkKmeans,2023-04-22,04:35:52,8032739922,129.139,62202277,31101138,61m,12,6,4g,8,2,16g,lz4,6k,83k,100k,60m,0.85,0.74,2m,org.apache.spark.serializer.KryoSerializer,25k,0.63,408,0.18,456m,0.68
ScalaSparkKmeans,2023-04-22,04:46:34,8032739922,121.047,66360503,33180251,68m,16,5,6g,8,2,16g,lz4,93k,9k,22k,29m,0.43,0.51,68m,org.apache.spark.serializer.JavaSerializer,50k,0.6,184,0.26,121m,0.36
ScalaSparkKmeans,2023-04-22,04:57:34,8032739922,126.874,63312734,31656367,29m,10,1,15g,4,4,8g,lz4,56k,17k,104k,38m,0.42,0.73,70m,org.apache.spark.serializer.KryoSerializer,97k,0.5,291,0.73,400m,0.15
ScalaSparkKmeans,2023-04-22,05:08:11,8032739922,122.201,65733831,32866915,25m,11,1,13g,8,2,16g,lz4,58k,28k,49k,65m,0.87,0.24,27m,org.apache.spark.serializer.KryoSerializer,40k,0.55,113,0.32,497m,0.14
ScalaSparkKmeans,2023-04-22,05:19:05,8032739922,121.708,66000097,33000048,31m,2,3,14g,8,2,16g,snappy,47k,37k,124k,121m,0.6,0.18,117m,org.apache.spark.serializer.JavaSerializer,82k,0.4,749,0.34,417m,0.12
ScalaSparkKmeans,2023-04-22,05:31:11,8032739922,139.382,57631113,28815556,58m,8,7,10g,2,8,4g,lz4,21k,75k,70k,88m,0.45,0.35,110m,org.apache.spark.serializer.JavaSerializer,100k,0.47,349,0.53,278m,0.89
ScalaSparkKmeans,2023-04-22,01:50:18,8032739872,147.709,54382196,27191098,96m,6,1,4g,2,8,4g,lz4,68k,6k,10k,9m,0.62,0.18,53m,org.apache.spark.serializer.KryoSerializer,19k,0.86,313,0.4,332m,0.47
ScalaSparkKmeans,2023-04-22,02:01:11,8032739872,132.752,60509369,30254684,97m,10,7,5g,8,2,16g,lzf,57k,110k,32k,96m,0.77,0.43,68m,org.apache.spark.serializer.KryoSerializer,128k,0.34,113,0.55,449m,0.41
ScalaSparkKmeans,2023-04-22,02:12:41,8032739872,137.588,58382561,29191280,20m,9,3,15g,4,4,8g,lzf,80k,37k,62k,25m,0.81,0.49,37m,org.apache.spark.serializer.KryoSerializer,36k,0.84,425,0.22,427m,0.64
ScalaSparkKmeans,2023-04-22,02:27:57,8032739872,359.718,22330658,11165329,85m,14,6,10g,2,8,4g,snappy,11k,23k,78k,30m,0.19,0.56,46m,org.apache.spark.serializer.KryoSerializer,80k,0.63,774,0.19,281m,0.47
ScalaSparkKmeans,2023-04-22,02:43:47,8032739872,148.791,53986732,26993366,56m,11,1,7g,2,8,4g,lzf,80k,17k,98k,71m,0.87,0.4,9m,org.apache.spark.serializer.KryoSerializer,32k,0.51,455,0.74,158m,0.36
ScalaSparkKmeans,2023-04-22,02:55:48,8032739872,128.12,62697001,31348500,88m,16,7,8g,8,2,16g,lz4,89k,44k,21k,53m,0.75,0.27,102m,org.apache.spark.serializer.JavaSerializer,115k,0.72,602,0.42,173m,0.66
ScalaSparkKmeans,2023-04-22,03:07:02,8032739872,143.48,55985084,27992542,13m,9,1,6g,2,8,4g,lz4,9k,25k,36k,100m,0.62,0.24,48m,org.apache.spark.serializer.KryoSerializer,76k,0.76,352,0.34,127m,0.81
ScalaSparkKmeans,2023-04-22,03:18:26,8032739872,137.103,58589089,29294544,68m,2,3,9g,4,4,8g,snappy,124k,75k,8k,24m,0.83,0.35,75m,org.apache.spark.serializer.KryoSerializer,11k,0.47,515,0.71,106m,0.6
ScalaSparkKmeans,2023-04-22,03:31:59,8032739872,196.579,40862655,20431327,33m,16,1,11g,4,4,8g,lzf,126k,45k,62k,36m,0.33,0.32,4m,org.apache.spark.serializer.KryoSerializer,90k,0.56,587,0.58,60m,0.15
ScalaSparkKmeans,2023-04-22,03:44:25,8032739872,141.855,56626413,28313206,54m,9,3,4g,2,8,4g,snappy,18k,93k,124k,93m,0.4,0.78,55m,org.apache.spark.serializer.KryoSerializer,83k,0.8,589,0.38,208m,0.5
ScalaSparkKmeans,2023-04-22,03:56:40,8032739872,129.291,62129149,31064574,37m,2,4,14g,8,2,16g,snappy,126k,55k,86k,76m,0.5,0.69,24m,org.apache.spark.serializer.JavaSerializer,85k,0.3,247,0.38,328m,0.86
