Type,Date,Time,Input_data_size,Duration(s),Throughput(bytes/s),Throughput/node,spark.broadcast.blockSize,spark.default.parallelism,spark.driver.cores,spark.driver.memory,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.storageFraction,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.file.buffer,spark.shuffle.memoryFraction,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.unrollFraction
ScalaSparkTerasort,2023-04-20,12:02:00,4800000000,122.331,39237805,19618902,117m,11,1,16g,4,4,8g,lz4,29k,53k,118k,25m,0.71,0.12,62m,org.apache.spark.serializer.JavaSerializer,94k,0.9,399,0.86,290m,0.49
ScalaSparkTerasort,2023-04-20,12:13:38,4800000000,122.318,39241975,19620987,16m,7,1,16g,2,8,4g,lzf,82k,51k,26k,77m,0.47,0.35,29m,org.apache.spark.serializer.KryoSerializer,21k,0.55,180,0.21,288m,0.28
ScalaSparkTerasort,2023-04-20,12:25:22,4800000000,121.992,39346842,19673421,29m,4,1,16g,2,8,4g,lzf,94k,60k,72k,11m,0.48,0.68,61m,org.apache.spark.serializer.KryoSerializer,38k,0.3,645,0.63,169m,0.58
ScalaSparkTerasort,2023-04-20,12:38:19,4800000000,119.933,40022345,20011172,100m,14,1,16g,4,4,8g,lz4,114k,3k,128k,27m,0.28,0.39,109m,org.apache.spark.serializer.JavaSerializer,31k,0.25,775,0.52,284m,0.68
ScalaSparkTerasort,2023-04-20,12:48:45,4800000000,120.742,39754186,19877093,29m,10,1,16g,4,4,8g,lz4,114k,115k,78k,93m,0.43,0.77,68m,org.apache.spark.serializer.KryoSerializer,107k,0.86,512,0.17,20m,0.5
ScalaSparkTerasort,2023-04-20,13:02:31,4800000000,133.349,35995770,17997885,24m,11,1,16g,8,2,16g,lz4,51k,27k,91k,69m,0.28,0.87,96m,org.apache.spark.serializer.JavaSerializer,117k,0.47,737,0.52,464m,0.26
ScalaSparkTerasort,2023-04-20,13:13:24,4800000000,123.279,38936071,19468035,122m,4,1,16g,8,2,16g,lz4,111k,68k,39k,72m,0.75,0.6,9m,org.apache.spark.serializer.JavaSerializer,35k,0.24,420,0.36,48m,0.18
ScalaSparkTerasort,2023-04-20,13:24:08,4800000000,129.173,37159468,18579734,48m,16,1,16g,8,2,16g,lzf,66k,117k,118k,95m,0.89,0.25,56m,org.apache.spark.serializer.JavaSerializer,17k,0.2,255,0.17,494m,0.27
ScalaSparkTerasort,2023-04-20,13:38:29,4800000000,139.175,34488952,17244476,71m,8,1,16g,8,2,16g,lzf,43k,66k,127k,31m,0.27,0.81,31m,org.apache.spark.serializer.KryoSerializer,119k,0.51,766,0.11,121m,0.58
ScalaSparkTerasort,2023-04-20,13:49:34,4800000000,133.919,35842561,17921280,46m,15,1,16g,2,8,4g,snappy,66k,60k,54k,117m,0.75,0.73,27m,org.apache.spark.serializer.JavaSerializer,41k,0.64,81,0.37,227m,0.64
ScalaSparkTerasort,2023-04-20,14:00:12,4800000000,113.093,42442945,21221472,106m,12,1,16g,4,4,8g,lzf,51k,124k,67k,52m,0.52,0.66,67m,org.apache.spark.serializer.JavaSerializer,128k,0.54,483,0.84,253m,0.35
ScalaSparkTerasort,2023-04-20,14:11:44,4800000000,148.029,32426078,16213039,71m,11,1,16g,8,2,16g,lzf,81k,17k,96k,95m,0.35,0.45,103m,org.apache.spark.serializer.JavaSerializer,45k,0.44,718,0.63,173m,0.25
ScalaSparkTerasort,2023-04-20,14:23:17,4800000000,118.388,40544649,20272324,122m,2,1,16g,4,4,8g,lzf,97k,103k,102k,81m,0.43,0.45,103m,org.apache.spark.serializer.KryoSerializer,16k,0.74,425,0.26,420m,0.35
ScalaSparkTerasort,2023-04-20,14:34:13,4800000000,123.803,38771273,19385636,103m,13,1,16g,2,8,4g,snappy,75k,21k,56k,29m,0.45,0.23,127m,org.apache.spark.serializer.JavaSerializer,69k,0.77,345,0.88,377m,0.7
ScalaSparkTerasort,2023-04-20,14:45:48,4800000000,125.902,38124890,19062445,89m,8,1,16g,2,8,4g,lzf,65k,31k,114k,45m,0.68,0.62,64m,org.apache.spark.serializer.KryoSerializer,61k,0.85,770,0.54,111m,0.7
